county,state,population,# total covid cases,# covid cases per 100k,# covid deaths,# covid deaths per 100k,case_fatality_rate
Jackson County,Wisconsin,20643,781,3783.4,2,9.69,0.003
Waushara County,Wisconsin,24443,1456,5956.7,5,20.46,0.003
Albany County,Wyoming,38880,1839,4729.9,6,15.43,0.003
Campbell County,Wyoming,46341,1500,3236.9,4,8.63,0.003
Bourbon County,Kentucky,19788,361,1824.3,1,5.05,0.003
Alleghany County,North Carolina,11137,343,3079.8,1,8.98,0.003
Pine County,Minnesota,29579,711,2403.7,2,6.76,0.003
Nelson County,Kentucky,46233,1255,2714.5,4,8.65,0.003
Cache County,Utah,128290,4772,3719.7,12,9.35,0.003
Ste. Genevieve County,Missouri,17894,613,3425.7,2,11.18,0.003
Warren County,Missouri,35649,738,2070.2,2,5.61,0.003
Carbon County,Montana,10725,310,2890.4,1,9.32,0.003
Powell County,Montana,6890,291,4223.5,1,14.51,0.003
Spink County,South Dakota,6376,372,5834.4,1,15.68,0.003
McCreary County,Kentucky,17231,286,1659.8,1,5.8,0.003
Box Butte County,Nebraska,10783,325,3014.0,1,9.27,0.003
Bon Homme County,South Dakota,6901,1143,16562.8,3,43.47,0.003
Venango County,Pennsylvania,50666,388,765.8,1,1.97,0.003
Greene County,Pennsylvania,36232,315,869.4,1,2.76,0.003
Franklin County,Arkansas,17715,602,3398.3,2,11.29,0.003
Hood River County,Oregon,23383,296,1265.9,1,4.28,0.003
Izard County,Arkansas,13629,787,5774.5,2,14.67,0.003
Knox County,Nebraska,8332,322,3864.6,1,12.0,0.003
Love County,Oklahoma,10253,313,3052.8,1,9.75,0.003
Craig County,Oklahoma,14142,681,4815.4,2,14.14,0.003
Red Willow County,Nebraska,10724,328,3058.6,1,9.32,0.003
Union County,Ohio,58990,1066,1807.1,3,5.09,0.003
York County,Nebraska,13679,666,4868.8,2,14.62,0.003
El Dorado County,California,192841,1487,771.1,4,2.07,0.003
Pike County,Arkansas,10718,288,2687.1,1,9.33,0.003
Athens County,Ohio,65326,1452,2222.7,4,6.12,0.003
Grafton County,New Hampshire,89881,294,327.1,1,1.11,0.003
Pembina County,North Dakota,6801,367,5396.3,1,14.7,0.003
Macon County,Missouri,15117,319,2110.2,1,6.62,0.003
Lincoln County,Missouri,59014,1475,2499.4,5,8.47,0.003
Weston County,Wyoming,6927,294,4244.3,1,14.44,0.003
Millard County,Utah,13188,294,2229.3,1,7.58,0.003
Utah County,Utah,636234,32927,5175.3,93,14.62,0.003
Spencer County,Kentucky,19351,382,1974.1,1,5.17,0.003
Avery County,North Carolina,17557,675,3844.6,2,11.39,0.003
Blue Earth County,Minnesota,67653,2392,3535.7,7,10.35,0.003
Uintah County,Utah,35735,364,1018.6,1,2.8,0.003
Sevier County,Utah,21620,376,1739.1,1,4.63,0.003
Allegan County,Michigan,118085,1857,1572.6,8,6.77,0.004
Pulaski County,Illinois,5335,269,5042.2,1,18.74,0.004
Tooele County,Utah,72259,1753,2426.0,7,9.69,0.004
Woodward County,Oklahoma,20211,1345,6654.8,6,29.69,0.004
Tippecanoe County,Indiana,195735,5140,2626.0,20,10.22,0.004
Choctaw County,Oklahoma,14672,522,3557.8,2,13.63,0.004
Charlotte County,Virginia,11880,230,1936.0,1,8.42,0.004
Sauk County,Wisconsin,64442,2397,3719.6,9,13.97,0.004
Osceola County,Michigan,23460,254,1082.7,1,4.26,0.004
Merrick County,Nebraska,7755,227,2927.1,1,12.89,0.004
Lee County,Illinois,34096,1056,3097.1,4,11.73,0.004
Douglas County,Nevada,48902,450,920.2,2,4.09,0.004
Muskingum County,Ohio,86214,1242,1440.6,5,5.8,0.004
Morrow County,Ohio,35327,544,1539.9,2,5.66,0.004
Rowan County,Kentucky,24461,450,1839.7,2,8.18,0.004
Johnson County,Kentucky,22188,463,2086.7,2,9.01,0.004
Pike County,Kentucky,57876,1142,1973.2,5,8.64,0.004
Grand Forks County,North Dakota,69451,5601,8064.7,25,36.0,0.004
Laramie County,Wyoming,99500,2249,2260.3,8,8.04,0.004
Barnes County,North Dakota,10415,490,4704.8,2,19.2,0.004
Watauga County,North Carolina,56176,1479,2632.8,6,10.68,0.004
Boundary County,Idaho,12245,244,1992.7,1,8.17,0.004
Jefferson County,New York,109844,260,236.7,1,0.91,0.004
Carteret County,North Carolina,69472,1309,1884.2,5,7.2,0.004
Champaign County,Illinois,209687,7572,3611.1,30,14.31,0.004
Coos County,Oregon,64487,282,437.3,1,1.55,0.004
Green County,Wisconsin,36960,1162,3143.9,5,13.53,0.004
Harrison County,Missouri,8352,227,2717.9,1,11.97,0.004
Maries County,Missouri,8697,248,2851.6,1,11.5,0.004
Iron County,Utah,54840,1056,1925.6,4,7.29,0.004
Ozark County,Missouri,9174,238,2594.3,1,10.9,0.004
Hancock County,West Virginia,28811,261,905.9,1,3.47,0.004
Marion County,Kansas,11884,252,2120.5,1,8.41,0.004
Callaway County,Missouri,44743,1831,4092.3,7,15.65,0.004
Caldwell County,Missouri,9020,228,2527.7,1,11.09,0.004
Clallam County,Washington,77327,280,362.1,1,1.29,0.004
Stevens County,Minnesota,9805,226,2304.9,1,10.2,0.004
Madison County,Montana,8600,239,2779.1,1,11.63,0.004
Wayne County,Tennessee,16673,1640,9836.3,7,41.98,0.004
Lake County,Tennessee,7016,1016,14481.2,4,57.01,0.004
Cannon County,Tennessee,14678,475,3236.1,2,13.63,0.004
Bledsoe County,Tennessee,15064,1062,7049.9,4,26.55,0.004
Scott County,Kansas,4823,223,4623.7,1,20.73,0.004
Steele County,Minnesota,36649,955,2605.8,4,10.91,0.004
Cloud County,Kansas,8786,270,3073.1,1,11.38,0.004
