"fips","dem_amount","rep_amount"
26007,22186.951724415,17103.4791114982
26009,18218.2172864022,14044.0607919938
26011,11625.0097699162,8961.48845683606
26013,6411.99389916292,4942.87836741028
26015,48076.2851131049,37061.0504950789
26017,80551.0150864996,62095.1729221041
26019,13876.9014024276,10697.4268577672
26021,119820.474616335,92367.217010489
26023,33990.83183212,26202.8551485678
26025,104790.679683006,80781.0474958455
26027,40450.472415148,31182.4633954289
26029,20420.1189555142,15741.4629259602
26031,19742.9111700867,15219.416934421
26033,29173.049109494,22488.9224198327
26035,24174.8338627229,18635.8978525214
26037,62171.1115122272,47926.4713916459
26039,10957.9561958042,8447.27014452416
26041,27950.6382857408,21546.5902667084
26043,19714.0107224964,15197.138155082
26045,86129.5825646116,66395.5794637102
26047,26100.2285467815,20120.1462598385
26049,316977.765891217,244351.845403078
26051,19878.040289901,15323.5852810603
26053,10915.7771641859,8414.75516927259
26055,72710.4017645606,56051.0003003396
26057,31799.0843743235,24513.2806938287
26059,35621.7543880284,27460.1008582953
26061,27872.5289679291,21486.3773495759
26063,24199.0477512445,18654.5638568325
26065,228396.331840496,176066.182470577
26067,50534.3853446392,38955.95099724
26069,19626.5282865473,15129.6996878935
26071,8643.57710904335,6663.16140988697
26073,54576.542541395,42071.969458849
26075,123811.079663335,95443.4949467905
26077,207041.244350776,159603.970926541
26079,14089.3587468755,10861.2059923677
26081,513143.068829891,395571.769748084
26083,1652.79316489569,1274.10532652456
26085,9258.29744022148,7137.03706772007
26087,68429.230055301,52750.7303123051
26089,16997.3686490053,13102.9328972122
26091,76899.4044788024,59280.2190461578
26093,149965.984732584,115605.790248622
26095,4865.42940649115,3750.66260818597
26097,8435.0252304861,6502.39292114309
26099,682653.567065321,526244.03612161
26101,19182.0862681987,14787.0881894094
26103,52098.1338872296,40161.4135982334
26105,22764.1795830435,17548.4525691077
26107,33940.8418687205,26164.318881603
26109,17793.3025975066,13716.5025227928
26111,64952.584319502,50070.6533707357
26113,11808.5666667737,9102.98881209753
26115,117554.523306617,90620.440284474
26117,49902.4809635425,38468.8284976377
26119,7286.03716547591,5616.66091012341
26121,135571.218553065,104509.151750266
26123,38257.9438641735,29492.2868115185
26125,982290.283309161,757228.011792093
26127,20673.1931452241,15936.5527774696
26129,16400.6134609238,12642.9062103196
26131,4467.85297882957,3444.17885998134
26133,18324.4459586262,14125.9503592941
26135,6436.98888086267,4962.14650089269
26137,19268.0065177916,14853.3223982552
26139,227946.422169901,175719.356067894
26141,9835.52529884998,7582.01052532955
26143,18761.0770451936,14462.540566065
26145,148828.713065246,114729.090175172
26147,124293.795247411,95815.6107746696
26149,47618.5645107283,36708.2028006822
26151,32157.6061430792,24789.6579834671
26153,6322.16818367946,4873.63351270786
26155,53209.6294796902,41018.2434090295
26157,40808.2130907256,31458.238555896
26159,59110.7884403645,45567.3292983929
26161,287130.633369008,221343.285508392
26163,1366399.88348683,1053330.4509539
26165,26268.9446732547,20250.2061608448
13001,13267.6300447343,13284.316854478
13003,5891.99387116585,5899.40428134519
13005,8056.11997277348,8066.25222252758
13007,2192.26912193531,2195.02635722311
13009,32393.33801306,32434.0793863546
13011,13879.5603328847,13897.0167724915
13013,60067.3080019406,60142.8551597273
13015,77745.4544631556,77843.2355742275
13017,12050.9856274917,12066.1422533331
13019,13997.1837255363,14014.788101072
13021,110521.970522216,110660.974932829
13023,9289.36155585033,9301.0448639016
13025,13789.358344655,13806.7013364636
13027,11154.0170565353,11168.0455574712
13029,28595.4735006355,28631.4382678341
13031,57446.3990319376,57518.6498504994
13033,16151.928820368,16172.2432369074
13035,17994.214227972,18016.8457023421
13037,4466.0808412303,4471.69786861548
13039,39447.8551085306,39497.4690072279
13043,7795.61663076603,7805.42124327888
13045,86588.1357732924,86697.0383989187
13047,48766.8029165203,48828.1373341467
13049,9663.88021098016,9676.03455428962
